ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
79365,"Vera Michallek (Steiert-)",F,29,168,52,"West Germany",FRG,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",NA
79365,"Vera Michallek (Steiert-)",F,29,168,52,"West Germany",FRG,"1988 Summer",1988,Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",NA
79375,"Virginie Michanol",F,23,173,65,France,FRA,"2008 Summer",2008,Summer,Beijing,Athletics,"Athletics Women's 4 x 400 metres Relay",NA
79386,"Anne Michel",F,20,172,60,Belgium,BEL,"1980 Summer",1980,Summer,Moskva,Athletics,"Athletics Women's 400 metres",NA
79386,"Anne Michel",F,20,172,60,Belgium,BEL,"1980 Summer",1980,Summer,Moskva,Athletics,"Athletics Women's 4 x 400 metres Relay",NA
79447,"Maria Lynn Michta-Coffey",F,26,166,49,"United States",USA,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's 20 kilometres Walk",NA
79447,"Maria Lynn Michta-Coffey",F,30,166,49,"United States",USA,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's 20 kilometres Walk",NA
79460,"Kimberley ""Kim"" Mickle",F,27,168,70,Australia,AUS,"2012 Summer",2012,Summer,London,Athletics,"Athletics Women's Javelin Throw",NA
79460,"Kimberley ""Kim"" Mickle",F,31,168,70,Australia,AUS,"2016 Summer",2016,Summer,"Rio de Janeiro",Athletics,"Athletics Women's Javelin Throw",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,17,177,66,Germany,GER,"1960 Summer",1960,Summer,Roma,Athletics,"Athletics Women's High Jump",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,22,177,66,Germany,GER,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's Long Jump",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,22,177,66,Germany,GER,"1964 Summer",1964,Summer,Tokyo,Athletics,"Athletics Women's Pentathlon",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,26,177,66,"West Germany",FRG,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's 4 x 100 metres Relay",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,26,177,66,"West Germany",FRG,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's Long Jump",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,26,177,66,"West Germany",FRG,"1968 Summer",1968,Summer,"Mexico City",Athletics,"Athletics Women's Pentathlon",Gold
79462,"Ingrid Mickler-Becker (-Inglau)",F,29,177,66,"West Germany",FRG,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's 100 metres",NA
79462,"Ingrid Mickler-Becker (-Inglau)",F,29,177,66,"West Germany",FRG,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's 4 x 100 metres Relay",Gold
79462,"Ingrid Mickler-Becker (-Inglau)",F,29,177,66,"West Germany",FRG,"1972 Summer",1972,Summer,Munich,Athletics,"Athletics Women's Long Jump",NA
79552,"Marta Mguez Telle",F,27,171,62,Spain,ESP,"2000 Summer",2000,Summer,Sydney,Athletics,"Athletics Women's Javelin Throw",NA
